Player,Team,Age,CosineSimilarity
Nicolas-Gerrit Kühn,Celtic,24.0,0.2940672705757259
Oskar Zawada,RKC Waalwijk,28.0,0.2938603185304546
Viktor Tsyhankov,Girona,26.0,0.29125905390016726
Nikola Krstović,Lecce,24.0,0.2891772372439676
Habib Diarra,Strasbourg,20.0,0.2881320381762233
John McGinn,Aston Villa,29.0,0.2806075234757208
Evanilson,Bournemouth,24.0,0.27980415846744017
Javi Puado,Espanyol,26.0,0.27475958002761525
Nikola Vlašić,Torino,26.0,0.2710233826024625
Fábio Silva,Las Palmas,22.0,0.2708235897676612
Dominic Solanke,Tottenham,26.0,0.25913653145982174
Joelinton,Newcastle Utd,27.0,0.2579392636710463
Gaetano Oristanio,Venezia,21.0,0.2576481755650319
Daizen Maeda,Celtic,26.0,0.25755857054974063
Matthis Abline,Nantes,21.0,0.2555981404278126
Farid El Melali,Angers,27.0,0.25258512212517814
Jorge de Frutos,Rayo Vallecano,27.0,0.24413316345561759
Junior Kadile,Almere City,21.0,0.2393397569122433
Tete Morente,Lecce,27.0,0.23924457723917048
Santiago Castro,Bologna,19.0,0.23515817244149645
Tobias Lauritsen,Sparta R'dam,26.0,0.23043196622313183
Marvin Pieringer,Heidenheim,24.0,0.22112551241575712
Tyler Dibling,Southampton,18.0,0.22009220714174826
Pep Chavarría,Rayo Vallecano,26.0,0.21907139274320847
Artem Dovbyk,Roma,27.0,0.21844258013523604
Hamza Igamane,Rangers,21.0,0.2163097670575379
Zakaria Aboukhlal,Toulouse,24.0,0.21598007870156644
John Mercado,AVS Futebol,22.0,0.208200058597661
Kevin Nisbet,Aberdeen,27.0,0.20579955333981398
Kodai Sano,NEC Nijmegen,20.0,0.20461991968081716
Vinícius,Santa Clara,25.0,0.19978049736932602
Sandro Ramírez,Las Palmas,29.0,0.19679301607981414
Václav Černý,Rangers,26.0,0.1939717643243794
Valentino Lazaro,Torino,28.0,0.19269400470512577
Jérémy Livolant,Casa Pia,26.0,0.19011895163616588
Giuseppe Pezzella,Empoli,26.0,0.1898586669368697
Lucas Beltrán,Fiorentina,23.0,0.18353193452462785
Lorenzo Lucca,Udinese,23.0,0.18202643197467888
Teun Koopmeiners,Juventus,26.0,0.1799781609913882
Ilias Sebaoui,Heerenveen,22.0,0.17886824588968353
Tiago Tomás,Wolfsburg,22.0,0.17851665387288473
Tomáš Suslov,Hellas Verona,22.0,0.17618293163299076
Hugo Duro,Valencia,24.0,0.17453082511794643
Ronan Hale,Ross County,25.0,0.17263883695971405
Sami Ouaissa,NEC Nijmegen,19.0,0.16985121995998903
Sam Dalby,Dundee United,24.0,0.16646551484372224
Issa Soumaré,Le Havre,23.0,0.1662970753816604
Suf Podgoreanu,Heracles Almelo,22.0,0.16610925598001103
Ange-Yoan Bonny,Parma,20.0,0.16484690423582443
Patrick Cutrone,Como,26.0,0.16470360637649972
Miguel Reisinho,Boavista,25.0,0.1643845644704075
Gorka Guruzeta,Athletic Club,27.0,0.16409142757513512
Lawrence Shankland,Hearts,28.0,0.16071226746534562
Dylan Vente,Zwolle,25.0,0.15153854619715434
Makenzie Kirk,St Johnstone,20.0,0.1424179583493358
Yassine Kechta,Le Havre,22.0,0.13348797995529837
Jorg Schreuders,Groningen,19.0,0.1324830159787162
Morgan Guilavogui,St. Pauli,26.0,0.13183953051969577
Toyosi Olusanya,St Mirren,26.0,0.13128722127875397
Nicolás Domínguez,Nott'ham Forest,26.0,0.12992361363362914
Oliver McBurnie,Las Palmas,28.0,0.12859207319362365
Jack Harrison,Everton,27.0,0.1260464581857943
Patrick Dorgu,Lecce,19.0,0.12477250618649371
Elías Már Ómarsson,NAC Breda,29.0,0.1235035435996254
Roberto Piccoli,Cagliari,23.0,0.12191987447405489
Tom Sparrow,Motherwell,21.0,0.12011495202934225
Andrea Pinamonti,Genoa,25.0,0.1197841520579715
Che Adams,Torino,28.0,0.11463690829330048
Alfonso Trezza,Arouca,25.0,0.11070479270947886
Josué Casimir,Le Havre,22.0,0.11009632808742126
Jochem van de Kamp,Almere City,20.0,0.10978392182435648
Scott Tiffoney,Dundee,25.0,0.10799209251206032
Jofre,Espanyol,23.0,0.10609124176482232
Noah Chilvers,Ross County,23.0,0.10397089482699667
Christantus Uche,Getafe,21.0,0.1013361326816486
Mikel Oyarzabal,Real Sociedad,27.0,0.09834549871484077
Jens Odgaard,Bologna,25.0,0.0975222133328899
Adama Sidibeh,St Johnstone,26.0,0.09499996659744714
Thom van Bergen,Groningen,20.0,0.09213650934730716
Róbert Boženík,Boavista,24.0,0.08752719012381965
Thomas Robinet,Almere City,27.0,0.08554111925412539
Glenn Middleton,Dundee United,24.0,0.08438449834968753
Jon Guridi,Alavés,29.0,0.08385005933014877
Fraser Murray,Kilmarnock,25.0,0.08333025632407326
Lorenzo Colombo,Empoli,22.0,0.08072574798983462
Morten Thorsby,Genoa,28.0,0.07163346349111971
Luca Stephenson,Dundee United,20.0,0.06952548433543337
Cisse Sandra,Willem II,20.0,0.06928373577931407
Ezequiel Bullaude,Fortuna Sittard,23.0,0.059286854927569466
Rúnar Þór Sigurgeirsson,Willem II,24.0,0.056309484263730614
Kikas,Estrela,25.0,0.053683480806862305
Johannes Eggestein,St. Pauli,26.0,0.04570302607788568
Kornelius Hansen,Almere City,23.0,0.03991010412041779
Isaac Romero,Sevilla,24.0,0.03394218506887875
Kyan Vaesen,Willem II,23.0,0.0320922149229681
Amin Sarr,Hellas Verona,23.0,0.02307120405679841
Santiago Pierotti,Lecce,23.0,0.017649206560258535
Dany Mota,Monza,26.0,0.012972699730713966
Rasmus Højlund,Manchester Utd,21.0,0.008478856891528719
Kiko Bondoso,Rio Ave,28.0,0.0
