Player,Team,Age,CosineSimilarity,AutoencoderSimilarity,KMeansScore,EuclideanSimilarity,ManhattanSimilarity,FinalScore
Mattia Zaccagni,Lazio,29.0,0.7473293716104594,0.8673899,0.6052615911475072,0.51143074,0.5655040736754909,0.6858483942055016
Kaoru Mitoma,Brighton,27.0,0.7703755959480063,0.87738526,0.6233381185178929,0.43464038,0.47944139221982546,0.6829979530825532
Amad Diallo,Manchester Utd,22.0,0.7892544440930839,0.8424525,0.618171094499866,0.4305081,0.5336490075648371,0.6812396148678804
Evann Guessand,Nice,23.0,0.8552009626955724,0.9135834,0.5782700319626568,0.32033047,0.46666264180006317,0.6805298659425306
Moses Simon,Nantes,29.0,0.7138711925654306,0.8341752,0.6156294797926839,0.55331266,0.580889203332806,0.680208551458426
Alexander Isak,Newcastle Utd,24.0,0.8188356141636646,0.7952565,0.5682385999439756,0.4422867,0.6779510309539157,0.6734885290334301
Anis Hadj Moussa,Feyenoord,22.0,0.8030696128394128,0.7507887,0.6190989849887151,0.5060335,0.5420140494356787,0.6698004931842146
Oliver Antman,Go Ahead Eag,22.0,0.738215950182059,0.7736877,0.6079441466773503,0.52056754,0.5690395136661976,0.6628062786853766
Ludovic Blas,Rennes,26.0,0.7991163946468863,0.7014923,0.6023764195593653,0.5395832,0.6008560501610191,0.6600720310366851
Jacob Murphy,Newcastle Utd,29.0,0.7817034195612085,0.74372613,0.6093926478630569,0.46189296,0.5594602341687858,0.6576949646468812
Zuriko Davitashvili,Saint-Étienne,23.0,0.7310095054194071,0.84282804,0.5845605366469973,0.41766012,0.49726617764765724,0.6529977294638593
Filip Krastev,Zwolle,22.0,0.7577433532415816,0.7633841,0.5522853242955602,0.52881724,0.6219405170356863,0.6507703369315525
Dani Raba,Leganés,28.0,0.7187663498495522,0.81765723,0.5355080862765551,0.52504295,0.5982045166905036,0.6479201572527682
Himad Abdelli,Angers,24.0,0.7069495132821476,0.799687,0.5092028750741745,0.64514697,0.6271958948571054,0.6467669519989575
Takefusa Kubo,Real Sociedad,23.0,0.6649966529975088,0.83288586,0.5686029046635731,0.5254941,0.5151860390364468,0.6442998270959855
Marcus Tavernier,Bournemouth,25.0,0.6968406292513079,0.78137517,0.536473782912315,0.5294354,0.645374440790816,0.6399587252615482
Raúl Moro,Valladolid,21.0,0.6679702451518923,0.7617916,0.5632489900265928,0.56667906,0.595765724302285,0.6374235699897489
Luis Henrique,Marseille,22.0,0.7423447551691474,0.7272382,0.5946132612831551,0.4440065,0.5347826776426141,0.6362720558183794
Nico Williams,Athletic Club,22.0,0.6672284222611984,0.79318357,0.5729261285147621,0.50101215,0.5370202273304012,0.6360689603328564
Yoann Cathline,Utrecht,22.0,0.6894490030055049,0.7994758,0.5587224867823153,0.46495512,0.5396452968110089,0.6337716600514208
Álex Berenguer,Athletic Club,29.0,0.7205187569598999,0.80336726,0.5585281539983414,0.39060688,0.5036640874954644,0.6298575178294171
Alberto Moleiro,Las Palmas,20.0,0.64794738847496,0.83669996,0.5326106472379077,0.4751823,0.520845545896802,0.6247809804466058
Félix Correia,Gil Vicente FC,23.0,0.7291510123898283,0.672711,0.5727605985051742,0.5130101,0.5575373914614093,0.6215289147408445
Dan Ndoye,Bologna,23.0,0.7095754400847887,0.75827265,0.5569218975271243,0.43514058,0.49054077999841333,0.6189740501095978
Yann Gboho,Toulouse,23.0,0.6614567191647958,0.84201956,0.5373173663829379,0.3964554,0.4777837832230117,0.6182812313368308
Vangelis Pavlidis,Benfica,25.0,0.7677127560918882,0.6650504,0.5203117072170861,0.47295114,0.685541910318398,0.6177635525099432
Chris Führich,Stuttgart,26.0,0.5975519538692312,0.8151864,0.5453229487305367,0.50158376,0.5207928058962834,0.6164076764909759
Kenneth Taylor,Ajax,22.0,0.7748903259952615,0.7186762,0.5599415357181166,0.3253509,0.4798690252832084,0.6111486486336746
Noni Madueke,Chelsea,22.0,0.6811479433885302,0.72949255,0.5534710366991775,0.47037554,0.5147688081239041,0.6108320216589491
Bernardo Silva,Manchester City,29.0,0.6541204705290609,0.724439,0.5539567137922232,0.4963238,0.514351304924767,0.6068862123047003
Gabriel Strefezza,Como,27.0,0.633099581759804,0.75552046,0.5335218651227579,0.483922,0.5448930978387584,0.6051141973813985
João Pedro,Brighton,22.0,0.7671247519818618,0.72501516,0.5447455268655212,0.32032022,0.4726485874618088,0.6046365585162174
Pedro Neto,Chelsea,24.0,0.5972317309933266,0.751256,0.5490050785418841,0.5197527,0.5296045649799288,0.6043478463255865
Cody Gakpo,Liverpool,25.0,0.7069502216334039,0.7662338,0.530274232843928,0.33948234,0.5180356530933421,0.6042962768055803
Levi Smans,Heerenveen,20.0,0.5900130107522857,0.77312505,0.5145914010239317,0.5089652,0.613054193460693,0.6035927966256297
Michel Vlap,Twente,27.0,0.7184561497727431,0.66693354,0.5274866955512431,0.5090385,0.5413904531507098,0.6000878558739526
Mohammed Kudus,West Ham,23.0,0.6143264641338751,0.7241583,0.5266489455848089,0.53340715,0.5716643904444106,0.5987391490128328
Enzo Millot,Stuttgart,22.0,0.7634078453366835,0.69131505,0.5209125599375513,0.36471355,0.5387125718784951,0.5981723416631558
Kerem Aktürkoğlu,Benfica,25.0,0.7831531103938102,0.58448875,0.5701169592502503,0.3827646,0.5666082650099634,0.5972310317151026
Mohamed Amoura,Wolfsburg,24.0,0.7422462967646054,0.6203368,0.5644420160106942,0.42289484,0.5285164997186557,0.5962292919736365
Robin Hack,Gladbach,25.0,0.6683686176260181,0.72884035,0.5210467085485658,0.43630716,0.5430726203674241,0.5961881367897133
