Player,Team,Age,AutoencoderSimilarity
Ollie Watkins,Aston Villa,28.0,0.32043317
Nikola Krstović,Lecce,24.0,0.31683776
Morten Thorsby,Genoa,28.0,0.31561616
Iliman Ndiaye,Everton,24.0,0.3146787
Dany Mota,Monza,26.0,0.3077996
Jorge de Frutos,Rayo Vallecano,27.0,0.30392978
Róbert Boženík,Boavista,24.0,0.29783592
Jonas Wind,Wolfsburg,25.0,0.2946135
Elías Már Ómarsson,NAC Breda,29.0,0.29346064
Emanuel Emegha,Strasbourg,21.0,0.2876971
Cisse Sandra,Willem II,20.0,0.28651145
Jørgen Strand Larsen,Wolves,24.0,0.28260037
Jofre,Espanyol,23.0,0.28140035
Patrick Cutrone,Como,26.0,0.2791321
Johannes Eggestein,St. Pauli,26.0,0.27634308
Marcos Vinicios Sorriso,Famalicão,23.0,0.2621204
Issa Soumaré,Le Havre,23.0,0.25611374
Zakaria Aboukhlal,Toulouse,24.0,0.25384882
Kai Havertz,Arsenal,25.0,0.2501733
Santiago Pierotti,Lecce,23.0,0.24614057
Sandro Ramírez,Las Palmas,29.0,0.24324784
Roberto Piccoli,Cagliari,23.0,0.24245283
Isaac Romero,Sevilla,24.0,0.24177608
Ezequiel Bullaude,Fortuna Sittard,23.0,0.23510632
Oliver McBurnie,Las Palmas,28.0,0.23072466
Jens Odgaard,Bologna,25.0,0.22363487
Hugo Duro,Valencia,24.0,0.22255096
Kiko Bondoso,Rio Ave,28.0,0.21621063
Dylan Vente,Zwolle,25.0,0.2161502
Sami Ouaissa,NEC Nijmegen,19.0,0.20258883
Rúnar Þór Sigurgeirsson,Willem II,24.0,0.19400963
Kikas,Estrela,25.0,0.18236056
Alfonso Trezza,Arouca,25.0,0.16837594
Jon Guridi,Alavés,29.0,0.16238305
Kyan Vaesen,Willem II,23.0,0.15668961
Vito van Crooy,NEC Nijmegen,28.0,0.15289354
Jorg Schreuders,Groningen,19.0,0.12828693
Cyriel Dessers,Rangers,29.0,0.106959194
Rasmus Højlund,Manchester Utd,21.0,0.102662235
Jérémy Livolant,Casa Pia,26.0,0.098654866
Hamza Igamane,Rangers,21.0,0.09109774
Amin Sarr,Hellas Verona,23.0,0.08684561
Ronan Hale,Ross County,25.0,0.08379468
Adama Sidibeh,St Johnstone,26.0,0.05855319
Václav Černý,Rangers,26.0,0.055788815
Sam Dalby,Dundee United,24.0,0.041228354
Makenzie Kirk,St Johnstone,20.0,0.04098943
Toyosi Olusanya,St Mirren,26.0,0.030634403
Lawrence Shankland,Hearts,28.0,0.028201342
Nicolas-Gerrit Kühn,Celtic,24.0,0.025657296
Fraser Murray,Kilmarnock,25.0,0.021819085
Glenn Middleton,Dundee United,24.0,0.02040115
Noah Chilvers,Ross County,23.0,0.017051637
Kevin Nisbet,Aberdeen,27.0,0.013261884
Scott Tiffoney,Dundee,25.0,0.010452837
Daizen Maeda,Celtic,26.0,0.0077988207
Luca Stephenson,Dundee United,20.0,0.0076875687
Tom Sparrow,Motherwell,21.0,0.0
