Player,Team,Age,EuclideanSimilarity
Patrick Dorgu,Lecce,19.0,0.28459904
Erling Haaland,Manchester City,24.0,0.281497
John Mercado,AVS Futebol,22.0,0.27926335
Jonathan Burkardt,Mainz 05,24.0,0.27849787
Jack Harrison,Everton,27.0,0.27721658
Jarrod Bowen,West Ham,27.0,0.2726514
Kodai Sano,NEC Nijmegen,20.0,0.27249408
Gaetano Oristanio,Venezia,21.0,0.27087387
Miguel Reisinho,Boavista,25.0,0.26916838
Giuseppe Pezzella,Empoli,26.0,0.26844776
Lautaro Martínez,Inter,26.0,0.2680161
Troy Parrott,AZ Alkmaar,22.0,0.26534837
Suf Podgoreanu,Heracles Almelo,22.0,0.26413313
Nikola Vlašić,Torino,26.0,0.26259163
Yassine Kechta,Le Havre,22.0,0.26028943
Lucas Piazon,AVS Futebol,30.0,0.259935
Teun Koopmeiners,Juventus,26.0,0.25846547
Yoane Wissa,Brentford,27.0,0.25572246
Habib Diarra,Strasbourg,20.0,0.25404733
Samu Omorodion,Porto,20.0,0.25276324
Emanuel Emegha,Strasbourg,21.0,0.2509524
Nicolás Domínguez,Nott'ham Forest,26.0,0.25030223
Jasper Dahlhaus,Fortuna Sittard,22.0,0.25010908
Alessandro Zanoli,Genoa,23.0,0.24939257
Carlos Vicente,Alavés,25.0,0.2474394
Moise Kean,Fiorentina,24.0,0.247348
Evann Guessand,Nice,23.0,0.24720463
Jacob Trenskow,Heerenveen,23.0,0.2455059
Jim Allevinah,Angers,29.0,0.24384564
Morten Thorsby,Genoa,28.0,0.24343938
Rúnar Þór Sigurgeirsson,Willem II,24.0,0.23965731
Borja Iglesias,Celta Vigo,31.0,0.23957527
Junior Kadile,Almere City,21.0,0.2382165
Breel Embolo,Monaco,27.0,0.23781417
Jochem van de Kamp,Almere City,20.0,0.2366601
Dani Rodríguez,Mallorca,36.0,0.23519886
Álvaro García,Rayo Vallecano,31.0,0.23512962
Tim Kleindienst,Gladbach,28.0,0.2345165
Ollie Watkins,Aston Villa,28.0,0.23425323
Ritsu Doan,Freiburg,26.0,0.23311491
Nicolas Jackson,Chelsea,23.0,0.2330683
Nicolás González,Juventus,26.0,0.2299413
Valentín Castellanos,Lazio,25.0,0.22985607
Victor Edvardsen,Go Ahead Eag,28.0,0.22926173
Paul Wanner,Heidenheim,18.0,0.22589384
Jason,Arouca,30.0,0.22504678
Juan Cruz,Leganés,24.0,0.22314602
Kai Havertz,Arsenal,25.0,0.22310764
Jofre,Espanyol,23.0,0.22261766
Oskar Zawada,RKC Waalwijk,28.0,0.22093749
Joelinton,Newcastle Utd,27.0,0.22053877
Gaëtan Laborde,Nice,30.0,0.21964382
Ricardo Horta,Braga,29.0,0.21784766
Dušan Vlahović,Juventus,24.0,0.2152984
Jonathan David,Lille,24.0,0.21470413
Benedict Hollerbach,Union Berlin,23.0,0.21240722
Yanis Begraoui,Estoril,23.0,0.21180427
Arnaud Kalimuendo,Rennes,22.0,0.21092719
Josué Casimir,Le Havre,22.0,0.20946233
Kiko Bondoso,Rio Ave,28.0,0.20920095
Jonas Wind,Wolfsburg,25.0,0.20797123
Lucas Stassin,Saint-Étienne,19.0,0.20737718
Marcos Vinicios Sorriso,Famalicão,23.0,0.20535688
Kevin Schade,Brentford,22.0,0.20333976
Gabriel Vieira,Santa Clara,22.0,0.20297
Ludovic Ajorque,Brest,30.0,0.20275205
Adam Hložek,Hoffenheim,22.0,0.20253146
Keito Nakamura,Reims,24.0,0.20096879
Mahdi Camara,Brest,26.0,0.20094593
Jon Guridi,Alavés,29.0,0.20062692
Kornelius Hansen,Almere City,23.0,0.19844148
Lucas Beltrán,Fiorentina,23.0,0.19595541
Félix Lemaréchal,Strasbourg,20.0,0.19439606
Thierno Barry,Villarreal,21.0,0.19136897
Issa Soumaré,Le Havre,23.0,0.18884996
Boulaye Dia,Lazio,27.0,0.18869476
Christantus Uche,Getafe,21.0,0.18852642
Raúl Jiménez,Fulham,33.0,0.18561804
Vito van Crooy,NEC Nijmegen,28.0,0.1841154
Thomas Robinet,Almere City,27.0,0.18333727
Brennan Johnson,Tottenham,23.0,0.18220966
Jorg Schreuders,Groningen,19.0,0.1818494
Loïs Openda,RB Leipzig,24.0,0.18074359
Evanilson,Bournemouth,24.0,0.1803301
Jean-Philippe Mateta,Crystal Palace,27.0,0.17901477
Diego López,Valencia,22.0,0.17796229
Cisse Sandra,Willem II,20.0,0.17733619
Jorge de Frutos,Rayo Vallecano,27.0,0.17678936
Dominic Solanke,Tottenham,26.0,0.17561929
Dany Mota,Monza,26.0,0.17549078
Paxten Aaronson,Utrecht,20.0,0.17491786
Fábio Silva,Las Palmas,22.0,0.17421107
Denzel Dumfries,Inter,28.0,0.17417471
Alfonso Trezza,Arouca,25.0,0.17327109
Sebastiano Esposito,Empoli,22.0,0.17319982
Clayton,Rio Ave,25.0,0.17293285
Ante Budimir,Osasuna,33.0,0.17278081
Zakaria Aboukhlal,Toulouse,24.0,0.17256188
Romelu Lukaku,Napoli,31.0,0.17146407
Johannes Eggestein,St. Pauli,26.0,0.17094725
Marius Bülter,Hoffenheim,31.0,0.17042635
Philipp Hofmann,Bochum,31.0,0.17016406
Marvin Pieringer,Heidenheim,24.0,0.16703767
Jérémy Livolant,Casa Pia,26.0,0.16690327
Emmanuel Gyasi,Empoli,30.0,0.16616729
Jørgen Strand Larsen,Wolves,24.0,0.16591194
Artem Dovbyk,Roma,27.0,0.16485387
Shuto Machino,Holstein Kiel,24.0,0.16285703
Santiago Pierotti,Lecce,23.0,0.16238712
Jens Odgaard,Bologna,25.0,0.16202784
Chris Wood,Nott'ham Forest,32.0,0.16190347
Alexis Claude-Maurice,Augsburg,26.0,0.16153371
Lorenzo Colombo,Empoli,22.0,0.16102067
Mario Engels,Heracles Almelo,30.0,0.16099125
Danny Welbeck,Brighton,33.0,0.15924811
Benjamin Šeško,RB Leipzig,21.0,0.15916486
Iliman Ndiaye,Everton,24.0,0.15630685
Ange-Yoan Bonny,Parma,20.0,0.15473625
Sami Ouaissa,NEC Nijmegen,19.0,0.15274756
Tiago Tomás,Wolfsburg,22.0,0.15219657
Santiago Castro,Bologna,19.0,0.15160525
Dylan Vente,Zwolle,25.0,0.14893398
Morgan Guilavogui,St. Pauli,26.0,0.1485897
Kiké,Alavés,34.0,0.14799686
Liam Delap,Ipswich Town,21.0,0.14742514
Oliver McBurnie,Las Palmas,28.0,0.14716911
Nikola Krstović,Lecce,24.0,0.14646474
Sandro Ramírez,Las Palmas,29.0,0.14561005
Nélson Oliveira,Vitória,32.0,0.14456993
Thom van Bergen,Groningen,20.0,0.14251465
Javi Puado,Espanyol,26.0,0.14220989
Che Adams,Torino,28.0,0.14175558
Anuar,Valladolid,29.0,0.1412543
Lucas Höler,Freiburg,30.0,0.14033017
Hugo Duro,Valencia,24.0,0.13933447
Kyan Vaesen,Willem II,23.0,0.13795851
Amin Sarr,Hellas Verona,23.0,0.13723242
Róbert Boženík,Boavista,24.0,0.13581243
Matthis Abline,Nantes,21.0,0.1330573
Patrick Cutrone,Como,26.0,0.13261627
Vinícius,Santa Clara,25.0,0.13256226
