Player,Team,Age,KMeansScore
John Mercado,AVS Futebol,22.0,0.3884981953829349
Sami Ouaissa,NEC Nijmegen,19.0,0.387598282319142
Ange-Yoan Bonny,Parma,20.0,0.3856839269782708
Patrick Cutrone,Como,26.0,0.385377745134714
Christantus Uche,Getafe,21.0,0.3848820564089819
Ollie Watkins,Aston Villa,28.0,0.3833074878629928
Santiago Castro,Bologna,19.0,0.382372050707386
Arnaud Kalimuendo,Rennes,22.0,0.3809086522347604
Thierno Barry,Villarreal,21.0,0.37834448330823434
Dany Mota,Monza,26.0,0.37556750519657556
Jack Harrison,Everton,27.0,0.37412509283075535
Liam Delap,Ipswich Town,21.0,0.3735723504149768
Jorg Schreuders,Groningen,19.0,0.3727556483301997
Serhou Guirassy,Dortmund,28.0,0.3718740301699387
Javi Puado,Espanyol,26.0,0.3708614697686549
Jean-Philippe Mateta,Crystal Palace,27.0,0.36817970820869556
Jens Odgaard,Bologna,25.0,0.36799548733479753
Vito van Crooy,NEC Nijmegen,28.0,0.3641345576115997
Vinícius,Santa Clara,25.0,0.3641257020560897
Kornelius Hansen,Almere City,23.0,0.3628593742542255
Moise Kean,Fiorentina,24.0,0.35827349429847394
Zakaria Aboukhlal,Toulouse,24.0,0.35647577283986204
Dominic Solanke,Tottenham,26.0,0.35498219292299277
Nikola Krstović,Lecce,24.0,0.3529835522203987
Alfonso Trezza,Arouca,25.0,0.3517813666146681
Samu Omorodion,Porto,20.0,0.3501330366811191
Lorenzo Colombo,Empoli,22.0,0.3462820489407159
Valentino Lazaro,Torino,28.0,0.3437935295273166
Johannes Eggestein,St. Pauli,26.0,0.3423730844262705
Clayton,Rio Ave,25.0,0.34137958725439543
Santiago Pierotti,Lecce,23.0,0.3411758680497334
Kodai Sano,NEC Nijmegen,20.0,0.33301327878647424
Evanilson,Bournemouth,24.0,0.3279319554769549
Thom van Bergen,Groningen,20.0,0.3253018028218438
Ermedin Demirović,Stuttgart,26.0,0.3249232775566766
Cisse Sandra,Willem II,20.0,0.32192361105519146
Tomáš Suslov,Hellas Verona,22.0,0.31974074790074797
Mikel Oyarzabal,Real Sociedad,27.0,0.31893470142624675
Kiko Bondoso,Rio Ave,28.0,0.31854405719413476
Che Adams,Torino,28.0,0.314119796467354
Amin Sarr,Hellas Verona,23.0,0.31242652374493857
Jon Guridi,Alavés,29.0,0.3117692498188077
Oliver McBurnie,Las Palmas,28.0,0.3111804117270934
Yassine Kechta,Le Havre,22.0,0.3105531689044113
Erling Haaland,Manchester City,24.0,0.30733779070380796
Tobias Lauritsen,Sparta R'dam,26.0,0.30454727783369806
Artem Dovbyk,Roma,27.0,0.3024489580954154
Isaac Romero,Sevilla,24.0,0.2992159894623268
Giuseppe Pezzella,Empoli,26.0,0.2964202059653562
Pep Chavarría,Rayo Vallecano,26.0,0.28976748578715766
Emanuel Emegha,Strasbourg,21.0,0.28411903220460927
Jørgen Strand Larsen,Wolves,24.0,0.2827601558763238
Gorka Guruzeta,Athletic Club,27.0,0.2783519058378863
Miguel Reisinho,Boavista,25.0,0.2773389827756957
Elías Már Ómarsson,NAC Breda,29.0,0.2738537939154463
Rúnar Þór Sigurgeirsson,Willem II,24.0,0.27048278173091034
Oskar Zawada,RKC Waalwijk,28.0,0.2701056434064172
