Player,Team,Age,ManhattanSimilarity
Alexandre Lacazette,Lyon,33.0,0.48346329168168645
Rubén García,Osasuna,31.0,0.4825417984301079
Teun Koopmeiners,Juventus,26.0,0.4814746617779278
Omari Hutchinson,Ipswich Town,20.0,0.4810117651131993
Dodi Lukebakio,Sevilla,26.0,0.4801881119722889
Jonathan David,Lille,24.0,0.4772051929711327
Jonas Wind,Wolfsburg,25.0,0.47679004409977543
Gabriel Martinelli,Arsenal,23.0,0.47543076267282613
Ilias Sebaoui,Heerenveen,22.0,0.4746047360246218
Ricardo Horta,Braga,29.0,0.4734705694054043
Tete Morente,Lecce,27.0,0.4710953514340087
Carlos Vicente,Alavés,25.0,0.47072998907247976
Habib Diarra,Strasbourg,20.0,0.46963218192380585
Evann Guessand,Nice,23.0,0.46854744923833147
John McGinn,Aston Villa,29.0,0.46698604406035793
Joelinton,Newcastle Utd,27.0,0.46517274344257226
Nikola Vlašić,Torino,26.0,0.4641596977420717
Jason,Arouca,30.0,0.46349416674147453
Ringo Meerveld,Willem II,23.0,0.46258296522040626
Tomáš Suslov,Hellas Verona,22.0,0.45957215516188116
Ritsu Doan,Freiburg,26.0,0.4588398745589291
Jonathan Burkardt,Mainz 05,24.0,0.4577952635827854
Gaëtan Laborde,Nice,30.0,0.45472979714988615
Marcos Vinicios Sorriso,Famalicão,23.0,0.45457488170635946
Troy Parrott,AZ Alkmaar,22.0,0.45321057989896446
Óscar Aranda,Famalicão,22.0,0.45150499778000563
John Mercado,AVS Futebol,22.0,0.4506713720549901
Victor Edvardsen,Go Ahead Eag,28.0,0.4502836088435212
Junior Kadile,Almere City,21.0,0.4501198883845226
Nicolas Jackson,Chelsea,23.0,0.45010558443367593
Jofre,Espanyol,23.0,0.44886351784022477
Gaetano Oristanio,Venezia,21.0,0.4478170122410728
Yanis Begraoui,Estoril,23.0,0.44781676654115726
Brennan Johnson,Tottenham,23.0,0.446617090593656
Diego López,Valencia,22.0,0.44627573337735993
Valentino Lazaro,Torino,28.0,0.44396666895547443
Pep Chavarría,Rayo Vallecano,26.0,0.44187177581438586
Serhou Guirassy,Dortmund,28.0,0.439727323419423
Issa Soumaré,Le Havre,23.0,0.4387723374158866
Loïc Nego,Le Havre,33.0,0.4375534258986576
Kevin Schade,Brentford,22.0,0.4375022949557794
Kai Havertz,Arsenal,25.0,0.43741435315933597
Kodai Sano,NEC Nijmegen,20.0,0.43705568957874813
Alessandro Zanoli,Genoa,23.0,0.434726771714425
Paul Wanner,Heidenheim,18.0,0.43433125528732386
Jack Harrison,Everton,27.0,0.4321231925510583
Keito Nakamura,Reims,24.0,0.43159388980275787
