Player,Team,Age,AutoencoderSimilarity
Gabriel Vieira,Santa Clara,22.0,0.5075743
Christantus Uche,Getafe,21.0,0.5068364
Jérémy Livolant,Casa Pia,26.0,0.50552577
Johannes Eggestein,St. Pauli,26.0,0.5005647
Kornelius Hansen,Almere City,23.0,0.49971837
Liam Delap,Ipswich Town,21.0,0.49969476
Rúnar Þór Sigurgeirsson,Willem II,24.0,0.498285
Jørgen Strand Larsen,Wolves,24.0,0.4948725
Matthis Abline,Nantes,21.0,0.49422085
Róbert Boženík,Boavista,24.0,0.4930213
Thierno Barry,Villarreal,21.0,0.49186456
Lorenzo Colombo,Empoli,22.0,0.49094886
Roberto Piccoli,Cagliari,23.0,0.49032825
Hugo Duro,Valencia,24.0,0.4813906
Morgan Guilavogui,St. Pauli,26.0,0.48114073
Ange-Yoan Bonny,Parma,20.0,0.4771639
Patrick Cutrone,Como,26.0,0.4764738
Emanuel Emegha,Strasbourg,21.0,0.46706426
Evanilson,Bournemouth,24.0,0.46697223
Vinícius,Santa Clara,25.0,0.46633446
Morten Thorsby,Genoa,28.0,0.4602545
Gorka Guruzeta,Athletic Club,27.0,0.45993602
Elías Már Ómarsson,NAC Breda,29.0,0.4576549
Artem Dovbyk,Roma,27.0,0.45221126
Kyan Vaesen,Willem II,23.0,0.4486814
Sami Ouaissa,NEC Nijmegen,19.0,0.4447865
Kiko Bondoso,Rio Ave,28.0,0.44073093
Isaac Romero,Sevilla,24.0,0.44016987
Jorg Schreuders,Groningen,19.0,0.43861067
Ezequiel Bullaude,Fortuna Sittard,23.0,0.4381411
Tobias Lauritsen,Sparta R'dam,26.0,0.4378575
Oliver McBurnie,Las Palmas,28.0,0.43131173
Dylan Vente,Zwolle,25.0,0.42981642
Mikel Oyarzabal,Real Sociedad,27.0,0.4296695
Andrea Pinamonti,Genoa,25.0,0.42424202
Josué Casimir,Le Havre,22.0,0.41532147
Giuseppe Pezzella,Empoli,26.0,0.41370195
Lorenzo Lucca,Udinese,23.0,0.40859765
Thomas Robinet,Almere City,27.0,0.40771317
Thom van Bergen,Groningen,20.0,0.40620208
Santiago Pierotti,Lecce,23.0,0.36867017
Kikas,Estrela,25.0,0.3655296
Amin Sarr,Hellas Verona,23.0,0.35405898
Jochem van de Kamp,Almere City,20.0,0.33890456
Rasmus Højlund,Manchester Utd,21.0,0.29141396
Cyriel Dessers,Rangers,29.0,0.106289074
Lawrence Shankland,Hearts,28.0,0.10409255
Nicolas-Gerrit Kühn,Celtic,24.0,0.097327396
Noah Chilvers,Ross County,23.0,0.091364086
Glenn Middleton,Dundee United,24.0,0.08183934
Adama Sidibeh,St Johnstone,26.0,0.07281616
Fraser Murray,Kilmarnock,25.0,0.056705162
Daizen Maeda,Celtic,26.0,0.05567056
Hamza Igamane,Rangers,21.0,0.055198282
Ronan Hale,Ross County,25.0,0.052828997
Václav Černý,Rangers,26.0,0.052712873
Luca Stephenson,Dundee United,20.0,0.05030276
Kevin Nisbet,Aberdeen,27.0,0.04490845
Toyosi Olusanya,St Mirren,26.0,0.03150317
Sam Dalby,Dundee United,24.0,0.020445824
Makenzie Kirk,St Johnstone,20.0,0.019178092
Scott Tiffoney,Dundee,25.0,0.010117352
Tom Sparrow,Motherwell,21.0,0.0
